weak_difficulty_rank,task_id,problem_title,repository,language,prompt_characters,weak_pass_rate_pct,weak_passed,weak_non_error_trials,weak_errored,weak_total_trials,weak_models_solved_count,weak_models_attempted_count,weak_models_solved,avg_weak_steps,avg_weak_cost_usd
1,true-myth-iterable-collection-combinators,Add iterable collection combinators to true-myth,true-myth/true-myth,typescript,1975,46.43,13,28,0,28,5,7,deepseek-v4-pro;gemini-3-1-pro-preview;gemini-3-flash-preview;grok-build-0-1;qwen3-6-plus,100.25,2.2005
2,wazero-multi-module-snapshots,Add multi-module memory snapshots to wazero,wazero/wazero,go,3584,35.71,10,28,0,28,5,7,deepseek-v4-pro;gemini-3-1-pro-preview;gemini-3-flash-preview;grok-build-0-1;qwen3-6-plus,74.5,1.3756
3,happy-dom-abort-pending-body-reads,Abort pending body reads on shutdown,capricorn86/happy-dom,typescript,665,34.62,9,26,0,26,5,7,deepseek-v4-pro;gemini-3-1-pro-preview;gemini-3-flash-preview;grok-build-0-1;qwen3-6-plus,111.85,3.3286
4,psd-tools-blend-range-api,Add typed blend range access and blend-if compositing,psd-tools/psd-tools,python,2448,32.14,9,28,0,28,5,7,deepseek-v4-pro;gemini-3-1-pro-preview;gemini-3-flash-preview;grok-build-0-1;qwen3-6-plus,93.21,1.6226
5,testem-per-launcher-reports,Partition report files by launcher and expand report templates,testem/testem,javascript,2092,22.22,6,27,0,27,3,7,deepseek-v4-pro;gemini-3-1-pro-preview;grok-build-0-1,83.22,1.7637
6,ytt-jsonpath-query-api,Add JSONPath query APIs to orderedmap and Starlark modules,carvel-dev/ytt,go,2418,21.43,6,28,0,28,4,7,deepseek-v4-pro;gemini-3-1-pro-preview;gemini-3-flash-preview;qwen3-6-plus,86.96,1.7831
7,geo-shapeindex-serialization,Add ShapeIndex encoding and decoding,golang/geo,go,684,21.43,6,28,0,28,3,7,gemini-3-flash-preview;grok-build-0-1;qwen3-6-plus,110.64,1.8158
8,drizzle-orm-window-function-builders,Add typed window function builders with OVER clauses,drizzle-team/drizzle-orm,typescript,2340,21.43,6,28,0,28,3,7,deepseek-v4-pro;gemini-3-1-pro-preview;grok-build-0-1,146.04,3.3573
9,opa-rego-rule-profiling,Add rule evaluation profiling to Rego,open-policy-agent/opa,go,2849,20.0,5,25,0,25,4,7,deepseek-v4-pro;gemini-3-1-pro-preview;grok-build-0-1;qwen3-6-plus,197.84,3.1884
10,returns-validated-error-accumulation,Add an error-accumulating Validated container,dry-python/returns,python,3137,17.86,5,28,0,28,2,7,deepseek-v4-pro;grok-build-0-1,85.21,1.601
